"Centre","HFR identifier","Address supplied","Postcode supplied","Workbook row","Workbook RS flag (undefined)","Certificate date","Certificate source pages","Source level"
"Guntur","IN2810039036","M. VENKATA RAVI, MADDULAEMPIRE, Lakshmipuram Main road Door.No:5-87-8/A, beside SWEET MAGIC, Guntur, Andhra Pradesh 522007","522001","14","ACTIVE","11 Mar 2026","75","Workbook + certificate copy"
"Habsiguda","IN3610023015","Habsiguda Metro Station, Ramanthpur Road, Opposite ICICI direct, Habsiguda, Hyderabad-500007","500007","9","INACTIVE","","","Workbook-listed"
"Hayathnagar","IN3610023006","2 nd floor, H.no. 4-7-239, Opposite Union & ICICI banks, Hayath Nagar, Hyd- Vijayawada highway, Padmavathi colony,, Hyderabad, Telangana 501505","501505","23","INACTIVE","12 Mar 2026","78","Workbook + certificate copy"
"Himayat Nagar","IN3610023005","Himayat Nagar, Beside brand factory, G plaza building, H no 3-6-524, Hyderabad, Telangana","500029","6","ACTIVE","","","Workbook-listed"
"HitechCity, Madhapur","IN3610023459","Pinnacle Blooms Network, Beside Metro Station, Shop No -  1, GHMC No-1-98/7/2/1F, Madhapur, Hyderabad, RR District, Pin Code - 500081","500081","33","INACTIVE","","","Workbook-listed"
"Indira Nagar","IN2910116253","Opp. Motherhood Hospital, CMH Road, Indira Nagar, Bengaluru, Karnataka, IN - 560038.","560038","17","INACTIVE","","","Workbook-listed"
"Jaya Nagar","IN2910116254","12th Main, 27th Cross, 4th Block East, Jaya Nagar, Bengaluru, Karnataka, IN - 560011.","560011","18","INACTIVE","","","Workbook-listed"
"Kachiguda","IN3610023020","Pinnacle Blooms Network, First Floor, G7 Avenue, Beside DMart, Kachiguda Station Rd, Rahamath Bagh, Kachiguda, Hyderabad, Telangana 500027","500027","35","INACTIVE","","","Workbook-listed"
"Kadapa","IN2810065144","Apsara Cir Rd, Opposite GAJJALA MATERNITY HOSPITAL, N.G.O Colony, Kadapa, Andhra Pradesh","516002","44","ACTIVE","10 May 2026","70","Workbook + certificate copy"
"Kakinada","IN2810053820","Pinnacle Blooms Network, Beside Sai baba Temple, Phase 2, Subash Road, Revenue Ward No. 8, Kakinada -533001","533001","31","ACTIVE","24 Apr 2026","94","Workbook + certificate copy"
"Karimnagar","IN3610023681","Pinnacle Blooms Network, 3-1-323/A, Behind Civil hospital, Savaran street, Christian colony, Karimnagar, 505001","505001","20","ACTIVE","","","Workbook-listed"
"Khajaguda, Mehdipatnam","IN3610023019","Pinnacle Blooms Network, Khajaguda Nanakramguda Rd, Madhura Nagar Colony, Gachibowli, Rai Durg, Telangana 500032","500008","34","ACTIVE","12 Mar 2026","85","Workbook + certificate copy"
"Khammam","IN3610023018","Yk Arcade Beside Buggaviti EntOpp. Indus ind bank Wyra road , Khammam, Telangana 507003","507001","29","ACTIVE","","","Workbook-listed"
"Kukatpally","IN3610023014","Plot No- 530 at Vivekananda Nagar, Kukatpally opp reliance fresh jawed Habib","500072","3","ACTIVE","","","Workbook-listed"
"Kurnool","IN2810039037","Pinnacle Blooms Network, 1st Floor, Sri Sai Estates, Opp. Income Tax Department, Muncipal Office Road, Kurnool, Andhra Pradesh 518001","518001","30","ACTIVE","02 Feb 2026","76","Workbook + certificate copy"
"Labbipet","IN2810050768","Door No 39-9-7, Temple Street, Labbi Pet, Vijayawada, Andhra pradesh-520007","520010","10","ACTIVE","10 Mar 2026","87","Workbook + certificate copy"
"LB Nagar","IN3610023705","No - 11-14-321/3, Building Name - K Square, 3rd Floor New Siri Nagar Colony Beside Croma store, above Raymond Store, near L.B Nagar Circle, Hyderabad, Telangana 500074","500074","8","ACTIVE","","","Workbook-listed"
"Madhurawada","IN2810039041","2nd floor, Opp Vedanta Women & Children Hospital, Car Shed Road, PM Palem, Madhurawada, Visakhapatnam, Andhra Pradesh 530041","530048","51","INACTIVE","12 Jan 2026","81","Workbook + certificate copy"
"Mahbubnagar","IN3610023702","GLG Complex, opposite Chinnari Childrens Hospital, Rajendra Nagar, Mahbubnagar, Telangana","509001","52","INACTIVE","","","Workbook-listed"
"Marathahalli","IN2910116252","No 3, Khata no 2389, SY No 115/6, KUNDALAHALLI, Bengaluru (Bangalore) Urban, Karnataka, 560049","560037","38","INACTIVE","","","Workbook-listed"
"Miryalaguda","IN3610023024","D, 20-19/1, Sagar Rd, opp. Kakatiya High School, Islampuram, Miryalaguda, Telangana 508207","508207","48","ACTIVE","02 Mar 2026","86","Workbook + certificate copy"
"NAD, Vizag","IN2810039038","Opp. HDFC Bank, Buchirajupalem, NAD, Visakhapatnam, AP, IN - 027","530009","19","ACTIVE","12 Jan 2026","77","Workbook + certificate copy"
"Nallagandla","IN3610023017","Pinnacle Blooms Network, Sri Godha Towers, Plot No 22/F/HIG, Nallagandla HUDA Complex, Nallagandla, Serilingampally-500019","500019","21","ACTIVE","12 Mar 2026","84","Workbook + certificate copy"
"Nandyala","IN2810065160","Second Floor, Padmavati Nagar Rd, above Dominos, beside GSR Hospital, Srinivasa Nagar, Nandyala, Andhra Pradesh","518501","46","ACTIVE","08 May 2026","73","Workbook + certificate copy"
"Nellore","IN2810051616","Pinnacle Blooms Network, 101,1st floor, RS Imperial, opposite Babu Ice Cream, Subedar Pet, Nellore, Andhra Pradesh 524001","524001","22","ACTIVE","12 Mar 2026","90","Workbook + certificate copy"
"New Delhi","IN0710006582","Ground, E17,  Main Market, South Extension - 1, Near AIIMS, Delhi 110049","110049","16","INACTIVE","15 Mar 2026","68","Workbook + certificate copy"
"Nizamabad","IN3610023008","Hyderabad Rd, opp. Vamshi International Hotel, Pragathi Nagar, Pulang, Nizamabad, Telangana 503001","503001","42","INACTIVE","","","Workbook-listed"
"Nizampet","IN3610023704","2-43/3, 3rd Floor, Near Holistic Hospitals, Nizampet Rd, Jai Bharat Nagar,Nandamuri Nagar, Nagarjuna Homes, Nizampet, Hyderabad, Telangana 500090","500090","43","INACTIVE","","","Workbook-listed"
"Ongole","IN2810050814","Sundaraiah Bhavan Rd, near Gummadi Chest Hospital, Brundavan Nagar, Pandaripuram, Ongole, Andhra Pradesh 523001","523001","47","ACTIVE","09 Mar 2026","89","Workbook + certificate copy"
"Pragathi Nagar","IN3610023685","Pinnacle Blooms Network, Plot No. 782, Pragathi Nagar Rd, Pragathi Nagar, Hyderabad, Hyderabad, TelanganaÂ 500072","500090","24","ACTIVE","","","Workbook-listed"
"Rajhamundary","IN2810051854","Pinnacle Blooms Network, Opp. Gandhi Park Back Gate, Danvaipeta, Rajahmundry, AP, IN - 103","533101","39","ACTIVE","16 Apr 2026","92","Workbook + certificate copy"
"Santosh Nagar","IN3610023021","Pinnacle Blooms Network, Khaja Estate, New Santosh Nagar Colony, Main Road Saidabad, Hyderabad, Telangana 500059","500059","36","ACTIVE","","","Workbook-listed"
"SR Nagar","IN3610023027","Plat No-B-50,Door No-7-2-B50/A 1/102, Industrial Estate, Near Benz showroom, ICICI Bank upside, Sanath Nagar,Hyderbad-500 018","500018","4","ACTIVE","","","Workbook-listed"
"Srikakulam","IN2810039040","Above Indian Bank, Sana Street, Rama Laxmana Rd, Illisipuram, Meher Nager, Srikakulam, Andhra Pradesh","532001","45","ACTIVE","11 Mar 2026","79;80","Workbook + certificate copy"
"Suchitra","IN3610023010","Adjacent to Municipal Park, Mee Seva, Above Mahesh Bank, Suchitra Circle, Bowenpally, Hyd, TS, IN - 067","500067","2","ACTIVE","","","Workbook-listed"
"Tirupati","IN2810065148","Air Bypass Rd, near ICICI Bank, Shanthi Nagar, New Balaji Colony, Tirupati, Andhra Pradesh","517502","50","ACTIVE","10 May 2026","71","Workbook + certificate copy"
"Tirupati · additional certificate record","IN2810053847","Not supplied in the workbook","","","","17 Apr 2026","95","Certificate copy only"
"Vidyanagar","IN3610023456","Beside SBI, Padma Colony, Osmania University Rd, Nallakunta Main Rd, Vidya Nagar, Hyderabad, Telangana","500020","53","ACTIVE","","","Workbook-listed"
"Vijayawada","IN2810050793","Pinnacle Blooms Network, 59A,4-6, 2nd Floor, Beside McDonald Gurunanak Road, Vijayawada - 520008","520008","37","ACTIVE","10 Mar 2026","88","Workbook + certificate copy"
"Vikrampuri","IN3610023703","Plot No 22, 2nd Floor, Shamirpet Road, Opposite G Pulla Reddy Sweet House, Karkhana, Secunderabad, Telangana 500009.","500009","15","INACTIVE","","","Workbook-listed"
"Visakhapatnam","IN2810039035","Door No. 28-10-4, revenue Ward No. 27, 3 Rd.floor, Vasavi Plaza, Opposite Tochitralaya Inox Theatres, very Near To Jagadamba Theatre, visakhapatnam - 530020","530002","11","ACTIVE","12 Jan 2026","74","Workbook + certificate copy"
"Warangal","IN3610023461","Pinnacle Blooms Network, Near SKYV Family Restaurant Pure Veg,Ramakrishna Colony, Subedari, Hanamkonda, TelanganaÂ 506001","506002","28","ACTIVE","13 May 2026","69","Workbook + certificate copy"
